open,high,low,volume,close,time
23748.65,23982.89,23700.37,6209.962,23845.88,1659294000000
23843.69,23892.43,23772.75,3908.9095,23797.15,1659297600000
23797.22,23827.25,23531.61,3905.4902,23589.58,1659301200000
23591.06,23593.45,23227.31,9707.9107,23377.48,1659304800000
23379.82,23469.0,23266.6,5601.0125,23293.32,1659308400000
23296.36,23394.97,23257.37,5110.592,23374.96,1659312000000
23376.65,23443.38,23323.52,3835.7098,23418.8,1659315600000
23418.8,23466.55,23371.23,3510.5762,23420.08,1659319200000
23420.08,23436.83,23313.38,3051.2377,23375.62,1659322800000
23376.59,23417.76,23344.65,3465.7291,23392.4,1659326400000
23390.9,23425.0,23273.06,3863.3391,23327.47,1659330000000
23329.99,23346.42,23150.0,5533.3245,23223.77,1659333600000
23223.77,23347.96,23112.0,6019.4195,23322.05,1659337200000
23323.26,23379.0,23271.22,4974.9527,23287.76,1659340800000
23287.76,23377.64,23260.5,4170.2279,23311.76,1659344400000
23311.76,23319.84,22974.68,8472.4717,23037.35,1659348000000
23037.35,23294.4,22939.57,7965.418,23227.79,1659351600000
23227.79,23318.15,23120.0,6089.2502,23140.09,1659355200000
23140.09,23325.22,22961.6,10724.8343,23244.83,1659358800000
23242.59,23509.68,23209.6,12553.2172,23437.41,1659362400000
23437.41,23467.58,23280.23,6303.5039,23326.73,1659366000000
23325.19,23355.0,23137.34,7588.7891,23198.94,1659369600000
23198.94,23211.95,22876.74,9230.2931,22963.69,1659373200000
22963.75,22996.82,22850.0,6159.3135,22953.36,1659376800000
22953.39,23040.94,22872.27,5353.528,22953.59,1659380400000
22955.37,23131.61,22915.84,4668.4295,23118.88,1659384000000
23115.91,23132.37,22981.8,2774.4024,23019.09,1659387600000
23019.09,23195.0,22908.45,5491.0747,23164.79,1659391200000
23166.1,23417.11,23164.59,7300.5282,23268.01,1659394800000
23266.9,23447.62,23160.02,6217.4002,23187.65,1659398400000
23187.65,23245.0,22944.0,5332.1963,22997.14,1659402000000
22997.14,23080.37,22824.77,6362.843,22912.95,1659405600000
22912.95,22922.29,22780.0,5949.3612,22853.11,1659409200000
22851.34,22900.93,22750.0,5073.964,22862.28,1659412800000
22860.83,22909.0,22834.56,3872.9906,22852.71,1659416400000
22852.71,22937.5,22850.5,3754.2916,22874.63,1659420000000
22873.35,22920.0,22715.61,6855.6627,22887.8,1659423600000
22889.62,22910.34,22783.0,4915.0171,22809.74,1659427200000
22809.74,22845.0,22654.37,6028.1029,22711.08,1659430800000
22711.68,22868.0,22673.84,5513.0846,22858.17,1659434400000
22858.17,22973.08,22836.0,6118.6298,22882.61,1659438000000
22882.61,22910.35,22666.05,6508.0985,22735.46,1659441600000
22737.06,22887.43,22700.0,9008.0381,22799.96,1659445200000
22799.96,23151.24,22670.0,16571.4317,23025.61,1659448800000
23025.61,23109.1,22806.52,9314.7855,22979.5,1659452400000
22977.78,23459.89,22946.73,12556.4511,23378.71,1659456000000
23380.12,23442.9,23149.3,8193.2666,23186.84,1659459600000
23186.84,23282.33,22961.59,7280.9894,22981.11,1659463200000
22982.89,23100.0,22870.1,6473.9844,22951.21,1659466800000
22951.21,23063.6,22910.0,4755.4024,23030.58,1659470400000
23028.83,23146.67,22943.29,2931.755,23093.38,1659474000000
23093.02,23148.6,23024.36,4107.3569,23100.92,1659477600000
23100.92,23134.99,22927.61,4378.1788,22987.79,1659481200000
22985.93,23079.39,22727.0,7221.495,22793.56,1659484800000
22793.57,22836.0,22681.22,5420.1315,22801.57,1659488400000
22803.27,22857.0,22725.5,5036.0179,22776.69,1659492000000
22776.69,22882.4,22758.3,4117.0317,22862.72,1659495600000
22863.65,22901.94,22822.4,3692.981,22831.56,1659499200000
22831.56,22962.72,22802.0,4041.2672,22916.75,1659502800000
22915.59,23074.86,22913.66,4545.0054,23043.44,1659506400000
23019.07,23055.0,22954.0,6472.0034,22989.96,1659510000000
22989.16,23300.0,22987.46,23064.23764,23294.8,1659513600000
23293.27,23400.0,23286.24,7002.5208,23383.55,1659517200000
23389.02,23453.35,23326.43,32286.12964,23410.54,1659520800000
