open,high,low,volume,close,time,sma_low,sma_high
16565.77,16570.53,16523.81,402581.80979,16525.37,1672426800000,,
16525.91,16571.51,16523.91,398842.67338,16568.69,1672430400000,,
16569.36,16677.35,16568.31,881213.09187,16581.88,1672434000000,,
16585.06,16597.0,16577.57,264471.11964,16583.27,1672437600000,,
16582.81,16618.75,16568.0,407840.29825,16607.48,1672441200000,16565.782,
16607.48,16616.37,16578.0,318703.77918,16580.32,1672444800000,16574.124,
16580.32,16583.69,16562.36,307357.87124,16568.24,1672448400000,16585.006,
16568.23,16579.79,16560.47,270129.94923,16575.94,1672452000000,16584.780000000002,
16576.18,16577.38,16550.01,263425.81138,16552.46,1672455600000,16583.003999999997,
16552.46,16555.59,16541.75,206382.72605,16550.99,1672459200000,16576.934,16571.358
16551.89,16566.37,16531.0,297711.10558,16538.76,1672462800000,16565.816,16569.97
16538.29,16556.67,16534.03,307716.55633,16546.71,1672466400000,16557.409999999996,16571.208000000002
16546.43,16568.12,16542.36,249493.68568,16565.09,1672470000000,16553.05,16568.915
16564.81,16583.9,16549.0,372492.07578,16554.05,1672473600000,16550.776,16566.89
16554.05,16557.98,16540.01,352199.75578,16544.26,1672477200000,16551.094,16564.014000000003
16543.79,16573.8,16543.0,444672.94535,16566.03,1672480800000,16549.474,16557.644999999997
16565.74,16580.41,16563.3,349748.51916,16567.15,1672484400000,16554.964,16556.187
16567.52,16582.36,16547.12,345168.66288,16575.44,1672488000000,16559.182,16556.116
16575.07,16606.84,16572.01,465728.38875,16600.89,1672491600000,16561.234000000004,16556.005
16600.89,16644.09,16580.7,579036.67257,16588.39,1672495200000,16570.602000000003,16560.848
16586.43,16625.79,16585.51,423348.04333,16590.1,1672498800000,16579.129999999997,16564.302000000003
16590.1,16613.3,16581.24,288117.943,16600.39,1672502400000,16584.002,16569.483
16600.93,16604.37,16571.01,386036.49635,16581.48,1672506000000,16590.684,16574.933
16581.45,16589.36,16571.8,218422.48865,16577.79,1672509600000,16591.96,16576.597
