open,high,low,volume,close,time
16592.79,16624.69,16559.85,718989.20452,16615.73,1671732000000
16661.67,16665.7,16566.0,785015.47349,16591.14,1671728400000
16636.54,16669.5,16620.07,633874.61467,16662.08,1671724800000
16674.53,16714.23,16610.92,1137794.46636,16636.54,1671721200000
16780.48,16792.13,16629.26,984825.96847,16673.33,1671717600000
16815.66,16822.99,16761.28,674795.80031,16781.5,1671714000000
16834.2,16845.45,16812.16,383872.16519,16815.24,1671710400000
16823.07,16846.08,16812.0,358010.55836,16834.8,1671706800000
16847.66,16860.87,16819.0,391206.23139,16823.07,1671703200000
16837.01,16868.52,16823.43,546754.55797,16847.66,1671699600000
16826.23,16857.0,16801.3,526663.44688,16837.02,1671696000000
16808.09,16831.45,16783.43,403754.31047,16826.87,1671692400000
16823.43,16827.27,16793.5,560328.7329,16808.09,1671688800000
16836.95,16840.83,16815.07,359626.40832,16823.38,1671685200000
16852.44,16859.54,16832.24,294920.43067,16836.95,1671681600000
16853.86,16858.19,16832.47,331598.8561,16852.8,1671678000000
16818.02,16853.97,16812.15,347501.07023,16853.47,1671674400000
16857.61,16860.77,16815.22,410232.60428,16818.02,1671670800000
16824.68,16858.98,16809.78,486433.19789,16856.85,1671667200000
16764.88,16835.11,16749.64,574663.36099,16824.67,1671663600000
16793.59,16794.18,16757.2,274828.81032,16764.88,1671660000000
16781.46,16802.27,16753.12,354276.93057,16790.06,1671656400000
16756.2,16782.6,16729.22,543831.36547,16781.46,1671652800000
16788.64,16806.6,16728.09,378541.77774,16756.2,1671649200000
