open,high,low,volume,close,time
16796.17,16803.75,16774.5,284099.34339,16780.19,1671991200000
16815.96,16822.27,16792.12,422120.8731,16796.35,1671987600000
16793.49,16821.82,16771.7,575236.34424,16815.96,1671984000000
16828.68,16857.96,16787.0,993599.8673,16793.09,1671980400000
16811.82,16832.99,16721.0,610529.93312,16828.68,1671976800000
16818.68,16823.04,16800.0,307445.02201,16812.02,1671973200000
16821.51,16824.99,16815.44,333078.15977,16818.25,1671969600000
16825.29,16827.54,16815.4,320915.56004,16821.51,1671966000000
16832.25,16834.16,16821.0,323075.29431,16825.29,1671962400000
16830.22,16835.93,16826.46,270707.90925,16832.5,1671958800000
16821.97,16834.41,16821.71,309555.75912,16830.22,1671955200000
16829.88,16832.22,16818.25,278258.37767,16821.97,1671951600000
16832.27,16833.92,16816.76,357989.42223,16829.88,1671948000000
16822.27,16843.0,16802.0,659747.02581,16831.74,1671944400000
16832.14,16833.35,16815.03,271197.78178,16822.38,1671940800000
16826.93,16838.84,16825.0,223014.37511,16832.14,1671937200000
16844.66,16848.1,16823.02,219823.41193,16827.57,1671933600000
16843.95,16852.95,16840.57,273618.75831,16845.01,1671930000000
16835.73,16847.97,16830.61,247549.53774,16843.95,1671926400000
16826.22,16853.72,16808.15,501304.95301,16836.12,1671922800000
16823.97,16841.57,16814.0,362374.28567,16825.85,1671919200000
16840.25,16869.99,16821.01,326739.32075,16823.97,1671915600000
16843.92,16846.49,16835.74,233742.08189,16840.5,1671912000000
16842.36,16865.0,16833.57,434353.73235,16843.59,1671908400000
