open,high,low,volume,close,time
16815.83,16868.0,16767.0,593144.57247,16835.17,1671559200000
16833.62,16857.74,16783.6,687939.12592,16815.83,1671555600000
16918.15,16936.32,16770.01,1199300.38269,16834.4,1671552000000
16899.35,17061.27,16897.85,1950802.65617,16918.83,1671548400000
16795.05,16984.15,16710.12,850577.46149,16901.93,1671544800000
16816.44,16830.82,16782.13,575159.26588,16795.62,1671541200000
16814.71,16856.66,16800.31,556033.40508,16818.06,1671537600000
16777.69,16846.25,16763.78,688625.27459,16814.19,1671534000000
16811.15,16829.79,16766.0,574523.69221,16778.26,1671530400000
16824.34,16858.42,16798.59,502802.74689,16811.83,1671526800000
16802.23,16840.49,16769.25,636022.36048,16824.94,1671523200000
16837.51,16849.0,16780.08,578097.14911,16802.83,1671519600000
16786.37,16841.53,16748.18,585658.56735,16837.51,1671516000000
16792.03,16814.03,16753.19,603896.64178,16785.78,1671512400000
16727.25,16880.58,16689.1,1226029.42286,16792.03,1671508800000
16721.93,16829.0,16673.69,1537294.97258,16727.24,1671505200000
16580.25,16856.5,16550.15,1086203.91118,16721.05,1671501600000
16461.81,16607.94,16444.0,1102424.45689,16580.23,1671498000000
16438.88,16480.0,16397.2,737874.31029,16462.01,1671494400000
16416.82,16459.18,16373.14,895297.93442,16438.88,1671490800000
16590.31,16609.78,16256.3,1019125.62911,16416.82,1671487200000
16599.71,16649.0,16584.94,454937.86258,16590.32,1671483600000
16555.74,16615.48,16538.44,402045.36356,16599.71,1671480000000
16544.08,16588.82,16525.6,645355.84565,16555.74,1671476400000
