,open,high,low,volume,close,time
0,16616.06,16636.72,16603.04,410647.6404,16633.73,1672336800000
1,16632.06,16639.16,16595.5,421136.77045,16616.47,1672333200000
2,16616.6,16654.54,16606.44,554387.23962,16632.06,1672329600000
3,16630.12,16664.41,16607.98,544739.13951,16616.6,1672326000000
4,16616.84,16663.77,16601.89,533585.47118,16629.53,1672322400000
5,16616.79,16651.48,16593.51,682955.47229,16616.84,1672318800000
6,16598.7,16623.72,16590.64,455072.37308,16616.87,1672315200000
7,16604.78,16622.06,16588.16,418238.54684,16598.24,1672311600000
8,16591.59,16610.75,16578.49,365744.98847,16604.78,1672308000000
9,16530.16,16630.0,16529.84,676242.74101,16591.59,1672304400000
10,16556.37,16567.36,16517.54,514230.06178,16530.88,1672300800000
11,16564.6,16572.71,16534.04,424279.76874,16556.37,1672297200000
12,16577.21,16582.38,16558.0,318409.9135,16564.49,1672293600000
13,16572.67,16582.79,16556.71,279843.05992,16576.59,1672290000000
14,16558.33,16583.87,16539.85,393798.23451,16572.23,1672286400000
15,16540.93,16563.49,16534.62,307914.73769,16558.33,1672282800000
16,16548.53,16555.0,16488.91,523664.04811,16542.13,1672279200000
17,16583.19,16586.92,16544.0,322658.57966,16548.53,1672275600000
18,16547.32,16594.0,16540.65,499883.01226,16583.19,1672272000000
19,16518.03,16560.64,16511.16,564665.21253,16547.31,1672268400000
20,16527.88,16542.41,16475.98,522142.24532,16518.03,1672264800000
21,16596.9,16598.42,16465.33,1031131.59349,16527.88,1672261200000
22,16595.43,16615.67,16578.57,371159.26283,16596.0,1672257600000
23,16633.18,16647.1,16591.38,453391.31859,16595.92,1672254000000
