,open,high,low,volume,close,time
0,16935.68,16967.55,16933.08,409962.60985,16953.93,1670004000000
1,16936.75,16973.43,16930.21,582099.66862,16936.33,1670000400000
2,16938.94,16948.75,16902.1,649144.0779,16936.51,1669996800000
3,16909.01,16979.87,16892.59,875737.51897,16938.94,1669993200000
4,16889.18,16989.23,16853.52,1092170.51089,16909.54,1669989600000
5,17031.5,17105.73,16787.85,2173893.36271,16889.18,1669986000000
6,16996.92,17047.28,16985.79,871644.71054,17031.5,1669982400000
7,16969.21,17065.0,16954.45,1202927.04967,16996.92,1669978800000
8,16962.17,16976.15,16946.13,578536.36733,16969.21,1669975200000
9,16964.56,16989.57,16956.0,547024.27114,16962.17,1669971600000
10,16955.42,16972.0,16936.15,548696.50582,16964.56,1669968000000
11,16910.82,16973.72,16906.99,605421.15585,16955.82,1669964400000
12,16935.46,16953.55,16907.21,446278.81912,16910.53,1669960800000
13,16927.78,16944.84,16922.73,483454.51539,16934.84,1669957200000
14,16902.03,16934.1,16879.08,603637.86745,16927.78,1669953600000
15,16920.59,16930.35,16890.05,535988.59352,16902.03,1669950000000
16,16925.25,16942.22,16857.89,1107936.18957,16920.59,1669946400000
17,17037.82,17048.99,16869.57,981350.67526,16925.79,1669942800000
18,16978.0,17046.45,16951.46,866169.80962,17037.82,1669939200000
19,16965.9,16980.24,16940.83,654062.43765,16977.37,1669935600000
20,16924.08,16987.29,16917.42,563570.38728,16965.48,1669932000000
21,16917.05,16939.27,16855.01,747294.74318,16924.08,1669928400000
22,16952.49,16967.79,16909.11,472340.21373,16916.12,1669924800000
23,16931.74,16961.32,16897.15,628751.99386,16951.8,1669921200000
