open,high,low,volume,close,time
16805.99,16839.38,16783.05,639741.01924,16783.88,1670436000000
16809.68,16826.47,16798.3,644203.64735,16805.85,1670432400000
16837.48,16850.24,16778.21,1041796.82733,16810.75,1670428800000
16838.86,16858.88,16810.01,1245404.21653,16837.48,1670425200000
16855.24,16897.38,16821.15,890412.48258,16837.91,1670421600000
16794.21,16872.0,16793.0,1152491.84635,16855.24,1670418000000
16793.29,16810.81,16765.12,731581.06548,16794.22,1670414400000
16826.09,16832.85,16780.33,658257.24789,16793.29,1670410800000
16834.76,16835.38,16787.4,704612.96058,16825.53,1670407200000
16792.46,16836.69,16788.24,955950.73493,16834.76,1670403600000
16763.03,16816.0,16678.83,1381353.41876,16797.63,1670400000000
16956.03,16959.54,16729.35,2166633.03225,16763.03,1670396400000
17004.2,17006.58,16932.84,786428.18495,16956.03,1670392800000
17040.56,17046.48,16973.26,736984.30194,17004.51,1670389200000
17024.97,17043.76,17012.79,515533.9868,17040.56,1670385600000
17055.11,17055.54,17020.02,496452.291,17025.03,1670382000000
17041.0,17067.64,17032.86,557384.2233,17055.11,1670378400000
17065.32,17073.73,17018.94,896538.21233,17041.01,1670374800000
17088.96,17142.21,17046.43,913452.45484,17067.25,1670371200000
16973.83,17107.01,16972.36,1374351.49773,17088.96,1670367600000
16993.69,16997.99,16958.98,255585.15657,16973.83,1670364000000
16988.99,17010.85,16974.73,464441.12672,16993.5,1670360400000
16970.52,16997.9,16951.75,643807.22161,16989.6,1670356800000
16972.49,16986.87,16925.0,814883.64478,16970.93,1670353200000
