open,high,low,volume,close,time
16842.05,16856.84,16821.0,361848.85163,16835.51,1671818400000
16827.14,16855.55,16823.68,391695.73847,16841.85,1671814800000
16832.15,16847.52,16816.0,438211.08231,16827.49,1671811200000
16790.48,16891.81,16781.0,1032141.93991,16832.16,1671807600000
16842.48,16855.31,16762.05,1067722.65868,16789.75,1671804000000
16872.39,16955.14,16731.13,1294608.02405,16841.76,1671800400000
16844.02,16877.06,16840.0,335928.1535,16872.39,1671796800000
16856.4,16861.7,16842.06,322010.0215,16844.02,1671793200000
16837.45,16890.89,16832.41,520424.94186,16856.4,1671789600000
16835.25,16846.66,16817.44,351405.33025,16837.45,1671786000000
16848.45,16860.06,16810.23,536643.0748,16835.61,1671782400000
16840.74,16856.54,16833.86,361797.30085,16848.01,1671778800000
16822.26,16849.35,16805.53,425477.15348,16840.74,1671775200000
16837.72,16847.82,16817.73,352435.48342,16821.85,1671771600000
16828.54,16841.59,16808.54,353953.88576,16837.13,1671768000000
16848.03,16893.9,16822.92,687382.3656,16828.23,1671764400000
16799.2,16869.0,16778.9,361091.92865,16848.03,1671760800000
16781.5,16807.87,16771.97,295142.58036,16799.2,1671757200000
16821.9,16832.76,16770.0,432661.80142,16780.27,1671753600000
16797.86,16829.85,16797.63,444040.2005,16821.43,1671750000000
16796.47,16847.49,16781.95,368344.77052,16798.41,1671746400000
16780.24,16826.13,16771.09,513929.3077,16796.47,1671742800000
16662.72,16852.79,16647.01,1341816.11272,16781.8,1671739200000
16616.49,16664.65,16607.72,494878.43844,16662.13,1671735600000
