open,high,low,volume,close,time
16680.28,16683.67,16613.16,731934.18687,16636.46,1672164000000
16777.2,16784.33,16620.04,683157.08368,16679.7,1672160400000
16799.92,16804.98,16757.75,632868.60245,16777.2,1672156800000
16771.85,16839.49,16745.35,880724.52879,16798.86,1672153200000
16819.44,16830.66,16733.21,752172.40379,16772.25,1672149600000
16812.0,16838.21,16801.91,475631.79239,16819.8,1672146000000
16832.01,16839.0,16798.0,440057.56889,16811.84,1672142400000
16858.94,16862.61,16806.57,513224.62891,16832.4,1672138800000
16876.95,16878.95,16850.55,490234.57784,16859.25,1672135200000
16849.79,16882.03,16839.65,434072.2671,16876.37,1672131600000
16869.68,16874.06,16830.75,478796.6929,16849.22,1672128000000
16890.0,16891.0,16853.52,411460.58981,16869.19,1672124400000
16872.1,16891.99,16858.75,324693.33862,16890.0,1672120800000
16891.27,16897.0,16868.86,376387.08858,16871.55,1672117200000
16876.82,16894.57,16868.29,305592.58031,16891.26,1672113600000
16880.04,16884.87,16856.4,354598.16809,16876.51,1672110000000
16865.6,16891.68,16865.51,394616.53201,16880.19,1672106400000
16870.86,16890.08,16851.78,451180.61158,16867.06,1672102800000
16919.39,16972.83,16839.0,1120938.76608,16870.39,1672099200000
16838.7,16944.52,16817.82,708379.02215,16919.39,1672095600000
16833.38,16849.56,16831.48,248211.92122,16838.7,1672092000000
16842.26,16852.61,16822.71,305779.48777,16833.38,1672088400000
16841.0,16848.4,16834.16,271290.31969,16840.48,1672084800000
16819.57,16862.23,16815.71,388899.08848,16841.85,1672081200000
