,open,high,low,volume,close,time
0,16599.78,16637.46,16527.38,468454.26142,16545.44,1671472800000
1,16635.49,16650.0,16505.0,886799.32454,16599.79,1671469200000
2,16668.23,16702.83,16584.0,802352.13541,16635.86,1671465600000
3,16734.57,16742.63,16665.03,482024.03075,16669.08,1671462000000
4,16710.05,16765.71,16666.79,663618.21204,16731.31,1671458400000
5,16743.68,16757.5,16710.0,460141.03022,16710.18,1671454800000
6,16734.46,16756.31,16716.0,447763.42578,16743.68,1671451200000
7,16767.88,16771.71,16725.65,351813.82997,16734.14,1671447600000
8,16752.25,16784.0,16746.81,375023.56899,16767.49,1671444000000
9,16757.91,16770.0,16732.52,437577.07176,16751.63,1671440400000
10,16722.23,16763.66,16707.1,481095.3308,16757.42,1671436800000
11,16738.84,16750.0,16697.03,413754.96807,16722.23,1671433200000
12,16705.87,16750.0,16697.01,520989.48323,16739.36,1671429600000
13,16713.66,16731.32,16693.94,358981.22697,16706.21,1671426000000
14,16681.43,16735.98,16672.88,403802.39803,16711.02,1671422400000
15,16723.72,16732.15,16627.35,790890.27815,16681.47,1671418800000
16,16785.15,16788.25,16720.0,355457.9321,16723.73,1671415200000
17,16774.25,16804.15,16750.27,356167.72917,16785.69,1671411600000
18,16739.0,16815.99,16715.44,487552.15917,16775.24,1671408000000
19,16761.68,16819.21,16731.01,413826.2043,16738.21,1671404400000
20,16746.94,16863.26,16723.4,310489.08132,16761.68,1671400800000
21,16758.16,16783.22,16737.01,244651.63983,16746.51,1671397200000
22,16751.52,16773.04,16746.51,234081.18168,16758.16,1671393600000
23,16746.93,16768.42,16722.83,288203.27402,16750.64,1671390000000
