,open,high,low,volume,close,time
0,16841.98,16847.54,16828.01,251898.00536,16842.36,1671904800000
1,16836.35,16844.9,16830.4,301496.58217,16841.63,1671901200000
2,16835.93,16841.42,16823.0,293920.67969,16835.9,1671897600000
3,16832.1,16840.0,16830.31,239961.66685,16836.35,1671894000000
4,16818.44,16838.91,16816.02,226513.83065,16832.41,1671890400000
5,16821.6,16830.26,16815.09,230286.14878,16818.3,1671886800000
6,16824.42,16833.0,16820.0,318503.32852,16821.97,1671883200000
7,16828.54,16837.28,16821.79,373128.25934,16824.41,1671879600000
8,16830.97,16836.5,16825.75,232530.93806,16828.79,1671876000000
9,16827.58,16849.77,16817.99,559049.51807,16833.3,1671872400000
10,16848.26,16859.44,16825.63,318112.64257,16827.89,1671868800000
11,16815.97,16857.37,16808.01,393179.52834,16847.24,1671865200000
12,16822.74,16823.9,16807.19,286953.9277,16816.27,1671861600000
13,16828.02,16828.79,16805.01,317247.9848,16824.49,1671858000000
14,16840.8,16846.8,16822.26,295575.23306,16828.35,1671854400000
15,16827.79,16844.08,16823.3,256783.23155,16840.65,1671850800000
16,16813.67,16831.0,16801.29,461190.32474,16828.14,1671847200000
17,16806.24,16827.0,16798.03,322488.51007,16814.05,1671843600000
18,16778.52,16816.62,16776.62,306569.89991,16805.92,1671840000000
19,16792.92,16799.27,16772.44,387139.36873,16778.5,1671836400000
20,16812.4,16812.4,16765.67,402656.77589,16792.92,1671832800000
21,16812.26,16825.0,16788.28,329189.75255,16812.4,1671829200000
22,16844.79,16851.57,16786.72,503318.27718,16812.25,1671825600000
23,16836.26,16860.07,16830.01,360069.48517,16846.47,1671822000000
