,open,high,low,volume,close,time
0,17169.18,17194.76,17167.69,330042.17202,17185.62,1670695200000
1,17189.81,17201.18,17160.14,396069.68506,17169.18,1670691600000
2,17207.69,17227.72,17170.55,770043.73285,17189.29,1670688000000
3,17166.16,17225.12,17160.72,758442.55886,17207.7,1670684400000
4,17158.24,17175.71,17142.91,585986.5104,17166.34,1670680800000
5,17159.12,17194.35,17141.55,626821.9189,17158.24,1670677200000
6,17168.17,17178.16,17140.23,472034.71021,17159.01,1670673600000
7,17163.54,17173.91,17151.33,522300.83167,17168.61,1670670000000
8,17145.29,17173.44,17140.84,626780.58314,17163.94,1670666400000
9,17141.82,17147.18,17112.52,589461.52899,17145.29,1670662800000
10,17154.06,17157.72,17140.0,404589.47883,17141.82,1670659200000
11,17147.18,17178.0,17139.26,495584.26509,17154.06,1670655600000
12,17134.12,17163.98,17130.28,487662.13397,17147.21,1670652000000
13,17152.09,17157.41,17132.5,426487.32397,17134.12,1670648400000
14,17145.08,17163.51,17137.88,410121.52171,17152.11,1670644800000
15,17141.37,17159.5,17134.58,442816.85628,17145.08,1670641200000
16,17154.1,17159.31,17116.4,427795.50651,17141.04,1670637600000
17,17152.44,17166.4,17146.64,475519.35495,17154.43,1670634000000
18,17128.56,17169.09,17120.77,673479.47677,17152.88,1670630400000
19,17132.87,17158.22,17117.11,460453.19818,17144.17,1670626800000
20,17111.1,17132.97,17105.49,388635.53728,17132.97,1670623200000
21,17101.31,17124.33,17067.1,916570.91202,17111.1,1670619600000
22,17142.67,17151.63,17096.38,689465.95535,17101.31,1670616000000
23,17147.42,17165.2,17122.48,744952.22796,17142.67,1670612400000
