,open,high,low,volume,close,time
0,16814.72,16832.99,16775.13,441363.49993,16789.15,1671645600000
1,16780.76,16820.53,16770.55,560443.9737,16815.52,1671642000000
2,16860.51,16866.4,16781.36,571550.62637,16786.04,1671638400000
3,16794.28,16872.0,16765.89,1160576.08357,16861.13,1671634800000
4,16847.57,16914.72,16723.0,661494.04209,16796.34,1671631200000
5,16834.03,16853.52,16811.0,524996.30947,16847.57,1671627600000
6,16878.47,16886.47,16834.0,479078.30232,16834.03,1671624000000
7,16861.69,16894.91,16852.97,309024.10083,16882.76,1671620400000
8,16868.15,16882.0,16851.43,305639.40192,16861.69,1671616800000
9,16863.87,16882.01,16845.22,459722.51557,16868.72,1671613200000
10,16816.18,16894.75,16795.69,557247.37882,16864.08,1671609600000
11,16837.3,16854.72,16813.44,405959.61276,16816.18,1671606000000
12,16833.49,16856.84,16819.01,407144.2114,16837.8,1671602400000
13,16795.44,16847.91,16767.53,586144.69984,16833.49,1671598800000
14,16836.44,16838.29,16782.07,455645.40291,16794.25,1671595200000
15,16850.87,16852.88,16794.84,550511.34645,16837.1,1671591600000
16,16867.33,16880.91,16840.71,387984.25184,16850.25,1671588000000
17,16840.59,16879.29,16828.3,505698.0187,16867.05,1671584400000
18,16896.15,16925.0,16815.26,659898.19409,16841.07,1671580800000
19,16869.0,16925.49,16867.88,541229.6284,16895.56,1671577200000
20,16877.21,16911.06,16847.19,515104.42178,16869.24,1671573600000
21,16858.86,16894.73,16833.51,486948.86507,16879.72,1671570000000
22,16900.93,16926.99,16838.56,560525.01423,16859.3,1671566400000
23,16835.75,16915.92,16834.83,623765.66134,16900.3,1671562800000
